,Cities,Lat,Long,Temp,Humidity,Wind Speed,Cloudiness
111,Caravelas,-17.73,-39.27,74.71,100,14.65,24
112,Sitka,37.17,-99.65,70.66,84,9.4,76
113,Asyut,27.18,31.19,77.0,47,11.41,0
114,Mahebourg,-20.41,57.7,71.6,68,14.99,20
115,Kodiak,39.95,-94.76,66.92,81,8.05,90
116,Hobart,-42.88,147.33,55.4,50,20.8,40
117,Chapais,49.78,-74.86,46.4,61,4.7,75
118,Conde,-11.81,-37.61,74.17,87,8.95,92
119,Nikolskoye,59.7,30.79,59.0,87,2.24,0
120,Subate,56.01,25.91,57.88,89,2.68,88
121,Airai,-8.93,125.41,73.09,67,2.46,0
122,Bud,62.91,6.91,55.9,51,9.17,0
123,Vila do Maio,15.13,-23.22,80.6,83,29.97,75
124,Chuy,-33.69,-53.46,54.37,85,12.53,44
125,Magugu,-4.02,35.77,56.71,98,3.58,20
126,New Plymouth,-39.06,174.08,53.11,100,10.4,36
127,Waipawa,-39.94,176.59,49.06,82,15.66,8
128,Sao Joao da Barra,-21.64,-41.05,66.2,72,2.24,0
129,Kalianget,-7.74,113.68,71.92,100,6.04,0
130,Christchurch,-43.53,172.64,46.4,70,5.82,0
131,Narsaq,60.91,-46.05,41.0,80,3.36,68
132,Atambua,-9.11,124.89,77.95,96,6.49,0
133,Klaksvik,62.23,-6.59,50.0,100,2.46,88
134,Ponta do Sol,-20.63,-46.0,60.22,59,5.48,0
135,Shaowu,27.34,117.49,65.17,96,2.46,92
136,Barcelos,41.53,-8.62,63.57,100,4.7,75
137,Manokwari,-0.87,134.08,80.83,100,5.14,20
138,Qaanaaq,77.48,-69.36,28.45,100,5.03,0
139,Mexico,44.56,-70.55,51.3,70,3.36,1
140,Ust-Omchug,61.13,149.63,46.18,98,7.49,92
141,Bereda,43.27,-7.54,60.8,87,2.24,0
142,Nanortalik,60.14,-45.24,38.89,100,2.35,88
143,Balvi,57.13,27.27,61.03,82,2.91,92
144,San Patricio,-26.98,-56.83,68.14,56,5.48,0
145,Batemans Bay,-35.71,150.18,56.35,78,5.48,88
146,Huarmey,-10.07,-78.15,62.65,65,2.91,0
147,Iguape,-24.7,-47.56,62.2,100,6.49,48
148,Bama,24.14,107.25,69.22,76,3.47,64
149,Teya,21.05,-89.07,77.0,83,23.04,75
150,Southbridge,42.08,-72.03,58.84,66,8.05,1
151,Lekoni,-1.58,14.26,67.87,96,2.91,12
152,Shahr-e Kord,32.33,50.85,51.8,40,2.24,0
153,Rumes,50.56,3.3,56.23,82,3.36,0
154,Hervey Bay,-25.3,152.85,67.96,88,11.18,0
155,Mango,44.69,8.15,71.6,78,4.7,0
156,Maragogi,-9.01,-35.22,73.27,83,8.72,48
157,Vanavara,60.35,102.28,36.91,84,2.57,0
158,Lebu,8.96,38.73,53.74,91,3.02,76
159,San Vicente,13.64,-88.78,79.7,94,3.36,20
160,Ardakan,32.31,54.02,78.8,11,2.24,0
161,Nome,30.04,-94.42,84.81,65,6.93,1
162,Mogadishu,2.04,45.34,77.05,100,16.11,88
163,Saint-Philippe,45.36,-73.48,54.01,71,6.93,90
164,Lake Havasu City,34.47,-114.34,112.15,8,8.05,1
165,Barrow,-38.31,-60.23,49.42,38,10.4,0
166,Vitim,59.44,112.57,38.26,84,2.35,12
167,Calama,-22.46,-68.93,59.0,15,12.75,0
168,Arraial do Cabo,-22.97,-42.02,67.69,97,10.96,0
169,High Level,58.52,-117.13,46.4,87,17.22,90
170,Clyde River,70.47,-68.59,33.8,100,8.05,1
171,Dingle,11.0,122.67,79.84,93,3.91,0
172,Qasigiannguit,68.82,-51.19,32.0,99,3.58,0
173,Kungurtug,50.6,97.53,39.16,79,2.91,0
174,Tecoanapa,16.99,-99.26,86.0,74,5.82,75
175,Egvekinot,66.32,-179.17,58.69,80,3.69,8
176,Verkhoyansk,67.55,133.39,33.67,100,8.16,88
177,Hithadhoo,-0.6,73.08,82.99,100,11.18,24
178,Hamilton,32.3,-64.78,77.0,78,3.36,75
179,Shirokiy,53.87,39.17,49.87,75,2.68,8
180,Tezu,27.93,96.16,65.53,99,1.34,88
181,Fortuna,38.18,-1.13,73.4,83,5.82,20
182,Fort Nelson,58.81,-122.69,41.0,86,6.93,90
183,Pundaguitan,6.37,126.17,81.46,100,3.69,32
184,Corn Island,12.17,-83.04,80.74,100,11.07,92
185,Portales,34.19,-103.33,76.75,45,4.7,1
186,Eston,51.15,-108.75,78.8,36,26.4,40
187,Tiberias,32.79,35.53,61.39,87,1.12,0
188,Wuda,39.5,106.72,51.31,60,8.5,80
189,Nishihara,35.74,139.53,82.27,88,4.7,40
190,Bathsheba,13.22,-59.52,80.6,83,10.29,20
191,Shimoda,34.7,138.93,79.95,83,11.41,75
192,Aswan,24.09,32.9,78.31,42,9.51,0
193,Kodinar,20.79,70.7,71.92,94,3.91,68
194,Azuaga,38.26,-5.68,59.14,88,1.68,36
195,Alta Floresta,-9.87,-56.08,85.69,48,4.03,64
196,Sorland,67.67,12.69,57.7,88,10.4,0
197,Cairns,-16.92,145.77,82.4,54,10.29,20
198,Salta,-24.79,-65.41,68.22,32,4.7,0
199,Chokurdakh,70.62,147.9,45.64,82,4.59,0
200,Necochea,-38.55,-58.74,46.54,66,9.17,0
201,Itarema,-2.92,-39.92,80.47,58,15.1,0
202,Fairbanks,64.84,-147.72,59.94,39,3.36,1
203,Porto Novo,-23.68,-45.44,60.8,87,4.7,0
204,Saint-Augustin,44.83,-0.61,64.2,72,3.36,0
205,Harper,30.3,-99.24,76.57,69,4.7,40
206,Broome,52.47,1.45,59.56,77,10.29,0
207,Butaritari,3.07,172.79,84.07,100,7.05,36
208,Mandal,48.82,106.5,42.22,76,3.69,12
209,Greymouth,-42.45,171.21,49.96,97,3.69,12
210,Oranjemund,-28.55,16.43,56.08,98,26.06,0
211,Richards Bay,-28.77,32.06,54.64,100,18.45,88
212,Longyearbyen,78.22,15.63,42.8,75,19.46,75
213,Thompson,55.74,-97.86,60.8,63,4.7,90
214,Biak,-0.91,122.88,80.47,83,4.7,0
215,Los Llanos de Aridane,28.66,-17.92,71.6,56,11.41,32
216,Leningradskiy,69.38,178.42,53.02,66,10.18,0
217,Kovdor,67.56,30.47,39.79,97,3.58,0
218,Tiksi,71.64,128.87,37.81,100,8.05,92
219,Haines Junction,60.75,-137.51,49.15,52,3.91,92
220,Abriaqui,6.63,-76.06,77.0,50,13.87,20
221,Saldanha,41.42,-6.55,58.42,89,2.57,64
222,Weyburn,49.67,-103.85,77.41,44,2.91,92
223,Portland,45.52,-122.67,73.83,37,3.36,75
224,Augustow,53.84,22.98,59.59,98,1.9,100
225,Dikson,73.51,80.55,36.46,100,18.12,92
226,Quatre Cocos,-20.21,57.76,71.6,68,14.99,20
227,Srednekolymsk,67.46,153.71,66.07,55,3.13,0
228,Port Elizabeth,39.31,-74.98,65.08,93,9.17,90
229,Constitucion,23.99,-104.67,73.4,49,5.82,90
230,Codrington,-28.95,153.24,64.54,59,5.37,0
231,Columbia,38.95,-92.33,65.1,89,13.87,90
232,Grass Valley,39.22,-121.06,91.04,29,8.05,1
233,Mount Gambier,-37.83,140.78,57.79,84,10.51,92
234,Pasni,25.26,63.48,77.5,100,1.12,92
235,Kenora,49.76,-94.48,63.66,87,10.29,90
236,Tamiahua,21.28,-97.45,84.34,87,7.38,0
237,Ukiah,39.15,-123.21,87.08,17,8.05,1
238,Tsabong,-26.02,22.4,33.67,63,5.14,0
239,Kruisfontein,-34.0,24.73,56.44,100,17.45,92
240,Punta de Bombon,-17.17,-71.79,60.49,100,8.72,32
241,Mbandaka,0.05,18.26,71.02,100,2.57,92
242,Constantine,36.36,6.61,69.8,83,3.36,40
243,Kununurra,-15.77,128.74,80.6,69,9.17,24
244,Saint George,39.45,22.34,69.8,68,4.7,20
245,Khani,41.96,42.96,62.6,88,3.36,75
246,Saravan,39.72,45.65,66.2,52,6.93,40
247,Guru Har Sahai,30.72,74.42,80.29,84,2.91,24
248,Uttarkashi,30.73,78.44,55.99,87,2.13,24
249,Tura,25.52,90.21,76.69,97,4.14,80
250,Kloulklubed,7.04,134.26,84.2,74,9.17,75
251,Dunedin,-45.87,170.5,48.97,76,4.14,0
252,Noshiro,40.21,140.05,59.79,93,4.7,75
253,Zyryanovsk,49.74,84.27,41.86,94,2.01,8
254,Lavrentiya,65.58,-170.99,48.07,95,15.43,36
255,Coquimbo,-29.95,-71.34,50.0,93,3.36,0
256,Larap,14.3,122.65,82.9,100,10.51,0
257,Balikpapan,-1.24,116.86,80.6,83,6.93,20
258,Mangan,27.5,88.54,41.32,73,1.9,20
259,Andili,7.46,125.97,77.0,94,3.36,75
260,Marsa Matruh,31.35,27.25,78.8,78,11.41,20
261,San Quintin,17.54,120.52,77.0,94,4.7,75
262,Minggang,32.45,114.03,69.67,83,3.36,0
263,Cacule,-14.5,-42.22,69.04,52,12.75,0
264,Coahuayana,18.62,-100.35,76.96,74,2.13,48
265,Alofi,-19.06,-169.92,75.2,88,13.87,100
266,Murray Bridge,-35.12,139.28,59.14,84,12.97,0
267,Mykolayivka,47.54,30.76,58.69,80,9.51,88
268,Paamiut,61.99,-49.67,40.33,97,11.07,80
269,Itaituba,-4.26,-55.99,77.32,85,5.37,48
270,Novopokrovka,45.85,134.51,51.94,66,3.36,0
271,Seymchan,62.93,152.39,57.97,63,5.48,76
272,Dhadar,28.33,75.06,75.43,91,6.93,88
273,Castro,-42.48,-73.76,43.39,97,3.69,20
274,Temerloh,3.45,102.42,71.56,97,3.02,20
275,Tshikapa,-6.42,20.79,66.52,100,1.9,24
276,Poronaysk,49.22,143.1,53.2,75,11.74,0
277,Eydhafushi,5.1,73.07,81.37,100,10.63,80
278,Kukuna,8.64,-12.57,73.27,95,2.46,80
279,Darnah,32.77,22.64,80.65,97,19.46,0
280,Chumikan,54.72,135.31,42.85,92,15.21,88
281,Itaqui,-29.13,-56.55,65.98,63,13.53,0
282,Zilair,52.23,57.44,41.77,85,2.91,8
283,Thinadhoo,0.53,72.93,83.08,100,11.97,80
284,Guerrero Negro,27.97,-114.04,81.1,57,10.18,0
285,Sabang,13.72,123.58,81.91,96,3.69,20
286,Alugan,12.22,125.48,82.72,97,5.03,32
287,Atbasar,51.81,68.36,46.0,92,7.94,12
288,Mezen,65.85,44.24,42.67,85,2.68,100
289,Komsomolskiy,67.55,63.78,34.39,91,14.54,32
290,Kudahuvadhoo,2.67,72.89,83.8,100,11.41,100
291,Touros,-5.2,-35.46,75.79,82,17.56,0
292,Cayenne,4.94,-52.33,77.0,100,7.38,0
293,Samarai,-10.62,150.67,77.86,99,17.67,80
294,Sobolevo,54.43,31.9,55.81,85,2.91,56
295,Dzhebariki-Khaya,62.22,135.8,52.66,96,3.47,88
296,Dreux,48.74,1.37,54.97,81,3.36,0
297,Goderich,43.74,-81.71,59.59,58,12.53,76
298,Cabedelo,-6.97,-34.84,73.4,78,8.05,0
299,Mount Darwin,-16.77,31.58,62.11,52,3.91,0
300,Yumen,40.29,97.04,46.99,62,2.46,0
301,Russell,-33.01,-68.8,64.4,63,4.7,0
302,Mwinilunga,-11.73,24.43,67.15,81,2.91,36
303,Dubrovnik,42.65,18.09,69.22,44,14.99,0
304,Sept-Iles,50.2,-66.38,48.2,61,6.93,20
305,Aligudarz,33.4,49.69,46.81,64,2.68,0
306,Presidente Medici,-11.18,-61.9,81.37,47,3.91,0
307,Janakpur,26.73,85.92,75.61,95,3.36,56
308,Ambilobe,-13.19,49.05,71.02,65,15.55,0
309,Lasa,34.92,32.53,72.61,78,6.93,20
310,Bagdarin,54.44,113.59,33.76,60,2.91,20
311,Cabo San Lucas,22.89,-109.91,83.35,74,11.41,75
312,Zhigansk,66.77,123.37,36.73,92,8.61,92
313,Yerbogachen,61.28,108.01,41.32,68,5.03,80
314,Muisne,0.61,-80.02,74.98,84,6.15,68
315,Kavieng,-2.57,150.8,81.46,100,3.13,56
316,Kwale,-4.17,39.45,73.18,100,9.51,88
317,Lincoln,40.8,-96.67,71.42,65,6.6,20
318,Yangjiang,21.85,111.96,77.41,100,17.67,8
319,Pombia,45.65,8.63,63.03,88,10.29,0
320,Covasint,46.2,21.6,58.05,87,1.12,0
321,Gravdal,59.79,5.78,53.6,76,3.36,44
322,Kedrovyy,56.17,91.82,46.4,100,4.47,40
323,Iqaluit,63.75,-68.52,37.4,74,13.87,40
324,Grand Forks,47.91,-97.06,71.2,46,18.34,1
325,La Ronge,55.1,-105.3,59.0,87,6.93,75
326,Praia,-20.25,-43.81,67.05,52,11.41,0
327,Ullal,12.8,74.85,73.4,88,2.13,40
328,Libertador General San Martin,-23.81,-64.79,69.8,28,6.93,24
329,Nemuro,43.32,145.57,64.4,88,2.24,64
330,Luganville,-15.51,167.18,77.41,100,12.64,0
331,Nkongsamba,4.95,9.94,67.6,96,2.57,92
332,Berlevag,70.86,29.09,37.18,100,3.02,12
333,Santa Vitoria do Palmar,-33.52,-53.37,54.37,85,12.53,44
334,Rovaniemi,66.5,25.72,41.0,86,2.24,0
335,Gravelbourg,49.88,-106.56,74.62,48,6.71,0
336,Santa Maria,-29.69,-53.81,62.6,72,3.36,0
337,Pouembout,-21.12,164.9,74.71,45,3.69,0
338,Brookhaven,40.78,-72.92,61.92,86,10.18,90
339,Ghanzi,-21.7,21.65,45.37,24,14.99,0
340,Sabzevar,36.21,57.68,54.37,33,2.57,0
341,Carbonia,39.17,8.53,68.94,94,3.36,5
342,Nara,34.68,135.8,76.12,83,4.7,75
343,Ninh Binh,20.25,105.97,73.9,84,11.52,24
344,Camacha,33.08,-16.33,70.05,72,6.93,40
345,Kasempa,-13.46,25.83,67.96,63,5.48,44
346,Vardo,39.62,-77.74,61.7,93,8.05,90
347,Upernavik,72.79,-56.15,37.27,100,16.11,20
348,Pathein,16.78,94.73,76.78,95,0.56,88
349,Adrar,27.87,-0.29,96.8,12,11.41,20
350,Maniitsoq,65.42,-52.9,41.23,100,1.57,92
351,Isangel,-19.55,169.27,71.56,100,11.41,0
352,Saint-Pierre,48.95,4.24,54.21,67,5.82,0
353,Sur,22.57,59.53,83.26,87,3.02,36
354,Salalah,17.01,54.1,75.2,94,5.82,75
355,Invermere,50.51,-116.03,58.15,46,1.68,68
356,Tinskoy,56.15,96.92,46.54,90,1.57,92
357,Sibolga,1.74,98.78,68.5,99,1.9,44
358,Tsumeb,-19.25,17.72,54.01,24,13.98,0
359,Arandis,-22.42,14.98,48.52,72,4.47,0
360,Artyom,43.36,132.19,57.2,67,4.47,0
361,Acapulco,16.86,-99.88,86.0,74,5.82,75
362,Aksu,52.04,76.93,46.4,100,4.47,75
363,Matamoros,25.87,-97.51,87.98,63,14.99,1
364,Kamina,-8.74,25.0,65.8,93,6.15,12
365,Merauke,-8.49,140.4,81.64,75,12.75,0
366,Diffa,13.32,12.61,71.47,98,4.47,80
367,Cockburn Town,21.46,-71.14,82.81,100,11.74,8
368,Pisco,-13.71,-76.2,71.6,30,16.11,0
369,Yinchuan,38.48,106.21,52.93,65,2.68,92
370,Port Moresby,-9.47,147.16,82.4,65,19.46,40
371,Hobyo,5.35,48.53,75.07,91,18.79,0
372,Muros,42.77,-9.06,62.6,82,2.24,0
373,Akonolinga,3.77,12.24,66.88,98,2.01,92
374,Kutum,14.2,24.66,60.49,87,2.91,8
375,Vawkavysk,53.15,24.45,57.07,83,2.01,92
376,Faanui,-16.48,-151.75,77.41,100,5.93,0
377,Pacific Grove,36.62,-121.92,75.83,51,8.05,1
378,Cidreira,-30.17,-50.22,52.84,93,4.7,0
379,Leh,34.16,77.58,33.58,97,1.12,92
380,Kourou,5.16,-52.64,77.0,100,9.4,0
381,Karachi,24.87,67.03,78.49,99,9.73,88
382,Avera,33.19,-82.53,83.41,74,3.47,40
383,Orlik,52.51,99.83,33.04,81,1.57,88
384,Olinda,-2.03,-79.75,77.0,73,9.17,40
385,Kalaleh,37.38,55.49,63.1,87,2.91,0
386,Eureka,40.8,-124.16,62.71,77,16.11,1
387,Kankan,10.38,-9.3,71.2,93,7.94,56
388,Tarko-Sale,64.92,77.78,41.86,81,10.96,92
389,Petropavlovsk-Kamchatskiy,53.05,158.65,53.6,100,8.95,90
390,Alcaniz,41.05,-0.13,61.48,93,2.57,76
391,Tripoli,37.51,22.37,71.6,73,8.05,0
392,Tilichiki,60.47,166.1,54.55,93,6.38,56
393,Lingolsheim,48.56,7.68,50.9,93,2.57,0
394,Uruzgan,32.93,66.63,36.1,65,1.9,0
395,Ca Mau,9.18,105.15,79.21,99,8.72,48
396,Si Chiang Mai,17.96,102.58,75.2,100,4.14,75
397,Great Falls,47.5,-111.29,81.25,18,13.87,48
398,Dongying,37.43,118.67,71.92,58,4.47,0
399,Norman Wells,65.28,-126.83,42.8,62,5.82,75
400,Sambava,-14.27,50.17,71.83,100,18.57,92
401,Abha,18.22,42.5,63.39,77,2.13,0
402,Sunrise,45.55,-92.86,65.91,72,10.51,1
403,Borborema,-21.62,-49.07,70.57,56,2.35,0
404,Prince Rupert,54.32,-130.32,57.2,93,3.36,90
405,Kulhudhuffushi,6.62,73.07,80.74,100,8.95,48
406,Calbuco,-41.77,-73.13,42.8,87,3.36,0
407,Pemba,-12.97,40.52,77.41,100,6.04,0
408,Yangambi,0.77,24.47,72.37,94,3.58,56
409,Shakiso,5.77,38.9,47.26,88,2.13,0
410,Abeche,13.83,20.83,71.74,92,2.91,64
411,Mookane,-23.68,26.66,48.52,23,14.09,0
412,Kaeo,-35.1,173.78,60.04,57,14.09,0
413,Laives,46.65,4.85,51.8,93,3.36,0
414,Reinosa,43.0,-4.14,64.4,100,2.46,32
415,Nyurba,63.29,118.35,33.58,84,2.46,0
416,Emerald,-23.53,148.16,70.57,28,13.98,0
417,Tunduma,-9.31,32.77,62.56,60,8.72,0
418,Nelson Bay,-32.72,152.14,64.4,42,17.22,0
419,Shaoyang,27.23,111.45,68.5,84,3.91,12
420,Baherden,38.44,57.43,70.39,43,4.92,0
421,Esperance,10.24,-61.45,82.4,83,3.69,20
422,Ulaangom,49.98,92.07,38.89,75,5.59,0
423,Lazaro Cardenas,28.39,-105.62,66.2,100,7.49,90
424,Hami,42.84,93.51,65.89,35,10.4,56
425,Dawei,14.07,98.19,74.26,97,2.01,92
426,Michurinsk,52.9,40.48,49.69,75,2.91,0
427,Tuatapere,-46.13,167.69,53.74,85,0.56,36
428,Sungaipenuh,-2.08,101.38,64.72,95,0.89,36
429,Raudeberg,61.99,5.14,47.89,99,2.57,36
430,Teruel,40.34,-1.11,66.2,93,2.24,92
431,Dubbo,-32.25,148.6,59.0,51,6.93,0
432,Tiznit,29.7,-9.73,65.98,92,1.68,44
433,Ust-Ilimsk,57.96,102.73,44.02,77,2.91,68
434,Elko,40.83,-115.76,87.08,3,20.8,1
435,Kieta,-6.22,155.63,78.49,100,3.58,48
436,Victor Harbor,-35.55,138.62,59.0,58,13.87,0
437,Jacareacanga,-6.22,-57.76,78.04,88,1.68,8
438,Berga,42.1,1.85,71.6,88,1.12,20
439,Kharod,21.55,73.0,75.97,88,9.17,56
440,Vao,59.1,26.19,61.21,85,2.68,88
441,Lompoc,34.64,-120.46,70.48,67,16.11,1
442,Gat,14.69,-16.54,78.8,88,8.5,88
443,Sar-e Pul,36.22,65.93,46.72,70,3.47,0
444,Karratha,-20.74,116.85,68.95,45,6.38,0
445,Dasoguz,41.84,59.97,64.4,29,16.11,0
446,Keti Bandar,24.14,67.45,78.67,100,9.06,92
447,Grindavik,63.84,-22.43,47.35,93,6.93,75
448,Chanute,37.68,-95.46,67.6,87,12.75,90
449,Rapid Valley,44.06,-103.15,74.97,40,12.75,1
450,Sartana,47.17,37.7,62.74,97,15.1,92
451,Ahuimanu,21.44,-157.84,84.65,72,9.17,1
452,Liwale,-9.8,37.92,66.52,94,4.03,12
453,Nanakuli,21.39,-158.15,84.67,76,8.05,90
454,Taunusstein,50.14,8.15,54.03,76,2.24,0
455,Segou,12.41,-12.29,75.43,88,10.63,24
456,Pershotravneve,51.38,28.88,66.52,41,6.38,92
457,Zhangye,38.94,100.46,52.12,71,3.13,12
458,Chojnow,51.27,15.94,50.0,93,1.12,0
459,Yar-Sale,66.83,70.83,43.75,100,21.81,80
460,College,64.86,-147.8,59.94,39,3.36,1
461,Quzhou,28.97,118.86,68.41,85,4.36,0
462,Balabac,7.99,117.06,84.61,100,4.47,0
463,Cervo,-22.19,-46.24,56.71,71,1.01,0
464,La Sarre,48.8,-79.2,49.69,78,5.03,8
465,Ostrovnoy,68.05,39.51,38.8,91,10.74,32
466,Grand Gaube,-20.01,57.66,71.6,68,14.99,20
467,Deputatskiy,69.3,139.9,42.49,85,4.03,92
468,Edzell,56.81,-2.65,48.85,93,2.24,0
469,Soddy-Daisy,35.24,-85.19,81.25,60,4.7,75
470,Hasaki,35.73,140.83,85.12,70,10.29,75
471,Baglan,51.62,-3.81,60.87,87,9.17,75
472,Auki,12.18,6.51,70.93,96,7.05,76
473,Bilma,18.69,12.92,85.96,38,10.07,64
474,Wattegama,7.35,80.68,67.51,94,3.58,48
475,Vucje,42.87,21.91,60.8,93,2.24,0
476,Cap Malheureux,-19.98,57.61,71.6,68,14.99,20
477,Basco,40.33,-91.2,64.67,77,8.05,90
478,Khash,28.22,61.21,50.14,23,2.46,0
